contrast-90,energy-90,homogenity-90,correlation-90,dissimilarity-90,ASM-90,target
1116855072,0.0539,0.3593,0.944,209176143,0.0033,2
909402453,0.0606,0.3886,0.947,189570792,0.0041,2
1017703456,0.0597,0.364,0.9293,201849498,0.004,2
972132664,0.0594,0.3776,0.9384,202362319,0.0039,2
1048334448,0.0589,0.3642,0.9336,202241918,0.0039,2
101899777,0.0576,0.3692,0.938,200483835,0.0038,2
953204013,0.0587,0.3811,0.9428,191670011,0.0039,2
1037973244,0.0586,0.371,0.9386,208316611,0.0037,1
1051491639,0.0572,0.3699,0.9413,21374359,0.0036,1
918240803,0.0643,0.3838,0.9328,19661427,0.0046,1
878956522,0.0648,0.3921,0.9375,189154961,0.0046,1
813149387,0.0683,0.3994,0.9336,18519175,0.005,1
949405797,0.0617,0.3758,0.9342,197694537,0.0043,1
975843924,0.0627,0.3759,0.9303,199523969,0.0044,1
561575251,0.0735,0.4661,0.9641,14154961,0.0061,3
974537347,0.0568,0.385,0.9577,211956522,0.0035,3
654005574,0.0673,0.4222,0.9512,166123746,0.005,3
697975474,0.0654,0.4324,0.956,164023411,0.0047,3
755811594,0.0617,0.4124,0.9553,166023411,0.0044,3
627283166,0.0702,0.4481,0.9566,155114827,0.0055,3
